"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"21	S	Mada.2349	*	Anodontohylamoramora	0.23148965	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1845	Mada.2349	Guibemantisliber	0.008796831	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.3157	Mada.2349	Boophis  guibei	0.150815217	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1511	Mada.2349	Boophis  picturatus	0.235523646	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1821	Mada.2349	Spinomantis  fimbriatus	0.136101139	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1839	Mada.2349	Guibemantisliber	0.163258936	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.2286	Mada.2349	Guibemantisliber	0.234747201	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1857	Mada.2349	Guibemantisliber	0.190535608	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1631	Mada.2349	Boophis  elenae	0.056188544	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"21	H	Mada.1645	Mada.2349	Boophis  elenae	0.013422819	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__aureum	Actinobacteria	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	aureum		7	3	7 . 3"
"65	S	Mada.2434	*	Boophis  lucie	1.116321683	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__;s__	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	NA	NA		2	2	2 . 2"
"65	H	Mada.3488	Mada.2434	Gephryomantis enki	0.132893157	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	NA	NA		2	2	2 . 2"
"65	H	Mada.2535	Mada.2434	Mantella crocea	1.078041444	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__;s__	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	NA	NA		2	2	2 . 2"
"65	H	Mada.2545	Mada.2434	Boophis albilabris	0.166743863	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Streptomycetaceae;g__;s__	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	NA	NA		2	2	2 . 2"
"83	S	Mada.3175	*	Gephryomantis tschenki	0	NonInhibitory	NA	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	NA		2	2	2 . 2"
