IDS,Mada.100,Mada.1007,Mada.1497,Mada.1515,Mada.2548,Mada.2842,Mada.2866,Mada.3112,Mada.3162,Mada.3485,Mada.3537,Mada.3666,Mada.3707,Mada.384,Mada.407,Mada.41,Mada.4301,Mada.4306,Mada.4313,,
Mada.100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.1007,0.060606061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.1497,0.062200957,0.054226475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,less than 0.05
Mada.1515,0.059011164,0.022328549,0.038277512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,greater than 0.05
Mada.2548,0.011164274,0.055821372,0.051036683,0.051036683,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.2842,0.07814992,0.035087719,0.070175439,0.041467305,0.070175439,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.2866,0.06539075,0.038277512,0.062200957,0.035087719,0.055821372,0.033492823,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.3112,0.063795853,0.03030303,0.049441786,0.015948963,0.059011164,0.044657097,0.049441786,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.3162,0.060606061,0.01754386,0.052631579,0.020733652,0.052631579,0.028708134,0.035087719,0.023923445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.3485,0.055821372,0.044657097,0.043062201,0.04784689,0.04784689,0.051036683,0.049441786,0.060606061,0.039872408,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.3537,0.049441786,0.025518341,0.049441786,0.019138756,0.044657097,0.044657097,0.028708134,0.027113238,0.022328549,0.055821372,0,NA,NA,NA,NA,NA,NA,NA,NA,,
Mada.3666,0.06539075,0.063795853,0.046251994,0.062200957,0.066985646,0.073365231,0.068580542,0.073365231,0.059011164,0.052631579,0.06539075,0,NA,NA,NA,NA,NA,NA,NA,,
Mada.3707,0.059011164,0.023923445,0.043062201,0.012759171,0.054226475,0.044657097,0.04784689,0.01754386,0.027113238,0.060606061,0.028708134,0.06539075,0,NA,NA,NA,NA,NA,NA,,
Mada.384,0.055821372,0.011164274,0.04784689,0.019138756,0.051036683,0.025518341,0.035087719,0.023923445,0.007974482,0.041467305,0.023923445,0.057416268,0.019138756,0,NA,NA,NA,NA,NA,,
Mada.407,0.122807018,0.114832536,0.106858054,0.100478469,0.114832536,0.122807018,0.116427432,0.106858054,0.105263158,0.118022329,0.110047847,0.118022329,0.106858054,0.106858054,0,NA,NA,NA,NA,,
Mada.41,0.063795853,0.035087719,0.049441786,0.014354067,0.055821372,0.04784689,0.044657097,0.014354067,0.027113238,0.060606061,0.03030303,0.063795853,0.01754386,0.027113238,0.106858054,0,NA,NA,NA,,
Mada.4301,0.081339713,0.081339713,0.079744817,0.071770335,0.074960128,0.089314195,0.082934609,0.074960128,0.066985646,0.076555024,0.07814992,0.086124402,0.07814992,0.071770335,0.073365231,0.07814992,0,NA,NA,,
Mada.4306,0.057416268,0.022328549,0.038277512,0.007974482,0.052631579,0.039872408,0.043062201,0.012759171,0.022328549,0.055821372,0.023923445,0.063795853,0.004784689,0.014354067,0.102073365,0.015948963,0.073365231,0,NA,,
Mada.4313,0.081339713,0.081339713,0.079744817,0.071770335,0.074960128,0.089314195,0.082934609,0.074960128,0.066985646,0.076555024,0.07814992,0.086124402,0.07814992,0.071770335,0.073365231,0.07814992,0,0.073365231,0,,
