# gapseq version: 1.4.0
# Transporter sequence DB md5sum: b99a77e (2025-02-20)
id	tc	sub	exid	rea	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	comment
gnl|TC-DB|Q08U57|1.A.1.24.2	1.A.1.24.2	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q08U57|1.A.1.24.2	52.814	3.31e-65	216	99	gnl|DSMZ|unitig_0|quiver_consensus	1860070	1859378	transporter
gnl|TC-DB|Q1D027|1.A.1.24.3	1.A.1.24.3	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|Q1D027|1.A.1.24.3	52.747	3.31e-76	250	99	gnl|DSMZ|unitig_0|quiver_consensus	1860205	1859387	transporter
gnl|TC-DB|B7K3R7|1.A.1.24.4	1.A.1.24.4	potassium	EX_cpd00205_e0	rxn05206,rxn27350	gnl|TC-DB|B7K3R7|1.A.1.24.4	35.681	4.63e-21	90.5	75	gnl|DSMZ|unitig_0|quiver_consensus	1859998	1859372	transporter
gnl|TC-DB|P76298|1.A.104.1.1	1.A.104.1.1	sodium	EX_cpd00971_e0	rxn34393,rxn34515,rxn10899	gnl|TC-DB|P76298|1.A.104.1.1	53.513	7.16e-160	509	94	gnl|DSMZ|unitig_0|quiver_consensus	1828020	1830017	transporter
gnl|TC-DB|RZD32576|1.A.115.1.2	1.A.115.1.2	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|RZD32576|1.A.115.1.2	30.605	5.39e-23	96.3	99	gnl|DSMZ|unitig_0|quiver_consensus	3185737	3184898	transporter
gnl|TC-DB|WP_106247303.1|1.A.115.1.3	1.A.115.1.3	NAD	EX_cpd00003_e0	rxn13361,rxn24116,rxn30216,rxn33812,rxn33813,rxn33817,rxn33824,rxn33825	gnl|TC-DB|WP_106247303.1|1.A.115.1.3	42.336	3.43e-50	176	95	gnl|DSMZ|unitig_0|quiver_consensus	3532451	3533272	transporter
gnl|TC-DB|Q53G01|1.A.12.1.3	1.A.12.1.3	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q53G01|1.A.12.1.3	20.398	0.51	29.6	80	gnl|DSMZ|unitig_0|quiver_consensus	5846927	5846379	transporter
gnl|TC-DB|Q9Y696|1.A.12.1.6	1.A.12.1.6	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9Y696|1.A.12.1.6	21.393	0.048	32.7	78	gnl|DSMZ|unitig_0|quiver_consensus	5846927	5846388	transporter
gnl|TC-DB|O95833|1.A.12.1.7	1.A.12.1.7	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|O95833|1.A.12.1.7	26.000	0.002	37.4	80	gnl|DSMZ|unitig_0|quiver_consensus	3899465	3900010	transporter
gnl|TC-DB|Q9FWR4|1.A.12.2.1	1.A.12.2.1	chloride	EX_cpd00099_e0	rxn18908	gnl|TC-DB|Q9FWR4|1.A.12.2.1	24.865	6.68e-07	47.4	82	gnl|DSMZ|unitig_0|quiver_consensus	5846927	5846388	transporter
