"","locus_tag","ftype","length_bp","gene","EC_number","COG","product"
"53","LNFNCACK_00053","CDS",843,"yfdE_1","2.8.3.19","COG1804","Acetyl-CoA:oxalate CoA-transferase"
"114","LNFNCACK_00114","CDS",1509,"stp_1","","","Multidrug resistance protein Stp"
"143","LNFNCACK_00143","CDS",1665,"choA","1.1.3.6","","Cholesterol oxidase"
"175","LNFNCACK_00175","CDS",1611,"rhlE_1","3.6.4.13","","ATP-dependent RNA helicase RhlE"
"225","LNFNCACK_00344","CDS",258,"whiB_1","","","Transcriptional regulator WhiB"
"247","LNFNCACK_00366","CDS",678,"ung_1","3.2.2.27","COG0692","Uracil-DNA glycosylase"
"351","LNFNCACK_00615","CDS",963,"RBKS","2.7.1.15","","Ribokinase"
"361","LNFNCACK_00625","CDS",741,"iclR","","COG1414","Transcriptional repressor IclR"
"399","LNFNCACK_00663","CDS",324,"ebrB","","","Multidrug resistance protein EbrB"
"403","LNFNCACK_00667","CDS",756,"malT","","","HTH-type transcriptional regulator MalT"
"428","LNFNCACK_00692","CDS",489,"nphA2","1.5.1.36","","NADH-dependent flavin reductase"
"469","LNFNCACK_00733","CDS",507,"sigE","","COG1595","RNA polymerase sigma-E factor"
"472","LNFNCACK_00736","CDS",774,"soj","3.6.-.-","COG1192","Sporulation initiation inhibitor protein Soj"
"488","LNFNCACK_00752","CDS",267,"whiB7_2","","","putative transcriptional regulator WhiB7"
"529","LNFNCACK_00793","CDS",810,"manC1","2.7.7.13","COG0662","Mannose-1-phosphate guanylyltransferase 1"
"530","LNFNCACK_00794","CDS",369,"algA_2","","COG0662","Alginate biosynthesis protein AlgA"
"534","LNFNCACK_00798","CDS",660,"epsM","2.3.1.-","COG0110","Putative acetyltransferase EpsM"
"541","LNFNCACK_00805","CDS",1161,"epsD","2.4.-.-","","Putative glycosyltransferase EpsD"
"545","LNFNCACK_00809","CDS",972,"wbgU","5.1.3.7","","UDP-N-acetylglucosamine 4-epimerase"
"546","LNFNCACK_00810","CDS",861,"rmlA_1","2.7.7.24","COG1209","Glucose-1-phosphate thymidylyltransferase"
"548","LNFNCACK_00812","CDS",1017,"rmlB_1","4.2.1.46","COG1088","dTDP-glucose 4,6-dehydratase"
"549","LNFNCACK_00813","CDS",588,"wzb","3.1.3.48","COG0394","Low molecular weight protein-tyrosine-phosphatase Wzb"
"550","LNFNCACK_00814","CDS",870,"rmlA_2","2.7.7.24","COG1209","Glucose-1-phosphate thymidylyltransferase"
"552","LNFNCACK_00816","CDS",1002,"rmlB_2","4.2.1.46","COG1088","dTDP-glucose 4,6-dehydratase"
"579","LNFNCACK_00843","CDS",921,"tsaC","2.7.7.87","","Threonylcarbamoyl-AMP synthase"
"643","LNFNCACK_00907","CDS",282,"czrA","","COG0640","HTH-type transcriptional repressor CzrA"
"644","LNFNCACK_00908","CDS",936,"czcD","","COG1230","Cadmium, cobalt and zinc/H(+)-K(+) antiporter"
"699","LNFNCACK_00963","CDS",756,"plsC","2.3.1.-","COG0204","1-acyl-sn-glycerol-3-phosphate acyltransferase"
"704","LNFNCACK_00968","CDS",1008,"thiL_1","2.7.4.16","COG0611","Thiamine-monophosphate kinase"
"876","LNFNCACK_01140","CDS",1344,"rpoD","","","RNA polymerase sigma factor RpoD"
"880","LNFNCACK_01144","CDS",1164,"haeIIIM","2.1.1.37","","Modification methylase HaeIII"
"904","LNFNCACK_01168","CDS",1566,"hrdB_1","","COG0568","RNA polymerase principal sigma factor HrdB"
"945","LNFNCACK_01209","CDS",1407,"stp_2","","","Multidrug resistance protein Stp"
"974","LNFNCACK_01238","CDS",1125,"hrdB_2","","COG0568","RNA polymerase principal sigma factor HrdB"
"980","LNFNCACK_01244","CDS",3354,"rapA","3.6.4.-","","RNA polymerase-associated protein RapA"
"998","LNFNCACK_01262","CDS",4653,"rhlE_2","3.6.4.13","","ATP-dependent RNA helicase RhlE"
"1003","LNFNCACK_01267","CDS",510,"ung_2","3.2.2.27","","Uracil-DNA glycosylase"
"1053","LNFNCACK_01317","CDS",1041,"yqjG","1.8.5.7","COG0435","Glutathionyl-hydroquinone reductase YqjG"
"1113","LNFNCACK_01377","CDS",876,"cysQ","3.1.3.7","","3(2),5-bisphosphate nucleotidase CysQ
LNFNCACK_01378	CDS	300				hypothetical protein
LNFNCACK_01379	CDS	483	dut	3.6.1.23		Deoxyuridine 5-triphosphate nucleotidohydrolase"
"1117","LNFNCACK_01383","CDS",684,"trkA_1","","COG0569","Trk system potassium uptake protein TrkA"
"1118","LNFNCACK_01384","CDS",651,"trkA_2","","COG0569","Trk system potassium uptake protein TrkA"
"1120","LNFNCACK_01386","CDS",1203,"rlmCD","2.1.1.189","COG2265","23S rRNA (uracil-C(5))-methyltransferase RlmCD"
"1121","LNFNCACK_01387","CDS",2802,"acnA","4.2.1.3","COG1048","Aconitate hydratase A"
"1123","LNFNCACK_01389","CDS",1863,"dxs","2.2.1.7","","1-deoxy-D-xylulose-5-phosphate synthase"
"1125","LNFNCACK_01391","CDS",735,"lptB_1","3.6.3.-","COG1137","Lipopolysaccharide export system ATP-binding protein LptB"
"1126","LNFNCACK_01392","CDS",729,"livF_1","","COG0410","High-affinity branched-chain amino acid transport ATP-binding protein LivF"
"1127","LNFNCACK_01393","CDS",885,"livH_1","","COG0559","High-affinity branched-chain amino acid transport system permease protein LivH"
"1129","LNFNCACK_01395","CDS",936,"menH_1","4.2.99.20","","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
"1131","LNFNCACK_01397","CDS",783,"bdhA","1.1.1.30","","D-beta-hydroxybutyrate dehydrogenase"
"1133","LNFNCACK_01399","CDS",1542,"murA","2.5.1.7","COG0766","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
