"","rxn","name","ec","tc","qseqid","pident","evalue","bitscore","qcovs","stitle","sstart","send","pathway","status","pathway.status","complex","exception","complex.status","seed","weight"
"1","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03596",90.7337966666667
"2","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03668",90.7337966666667
"3","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03669",90.7337966666667
"4","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03670",90.7337966666667
"5","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03671",90.7337966666667
"6","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn06155",90.7337966666667
"7","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn07484",90.7337966666667
"8","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn07485",90.7337966666667
"9","DHLAXANAU-RXN","1,2-dichloroethane dehalogenase","3.8.1.5",NA,"UniRef90_Q98C03",22.727,4.28e-12,63.9,90,"gnl_DSMZ_unitig_0_quiver_consensus",17888,18676,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn19882",90.7337966666667
"10","ALDXANAU-RXN","chloroacetaldehyde dehydrogenase","1.2.1.4",NA,"UniRef90_P37685",67.465,0,693,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879809,2881311,"|12DICHLORETHDEG-PWY|","good_blast",NA,NA,0,1,"rxn00507",0.005
"11","ALDXANAU-RXN","chloroacetaldehyde dehydrogenase","1.2.1.4",NA,"UniRef90_P37685",67.465,0,693,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879809,2881311,"|12DICHLORETHDEG-PWY|","good_blast",NA,NA,0,1,"rxn03455",0.005
"12","ALDXANAU-RXN","chloroacetaldehyde dehydrogenase","1.2.1.4",NA,"UniRef90_P37685",67.465,0,693,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879809,2881311,"|12DICHLORETHDEG-PWY|","good_blast",NA,NA,0,1,"rxn05880",0.005
"13","ALDXANAU-RXN","chloroacetaldehyde dehydrogenase","1.2.1.4",NA,"UniRef90_P37685",67.465,0,693,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879809,2881311,"|12DICHLORETHDEG-PWY|","good_blast",NA,NA,0,1,"rxn14071",0.005
"14","ALDXANAU-RXN","chloroacetaldehyde dehydrogenase","1.2.1.4",NA,"UniRef90_P37685",67.465,0,693,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879809,2881311,"|12DICHLORETHDEG-PWY|","good_blast",NA,NA,0,1,"rxn19116",0.005
"15","DHLBXANAU-RXN","chloroacetate dehalogenase","3.8.1.3",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn02050",92.2670533333333
"16","DHLBXANAU-RXN","chloroacetate dehalogenase","3.8.1.3",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn03599",92.2670533333333
"17","DHLBXANAU-RXN","chloroacetate dehalogenase","3.8.1.3",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn06154",92.2670533333333
"18","DHLBXANAU-RXN","chloroacetate dehalogenase","3.8.1.3",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|12DICHLORETHDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn19881",92.2670533333333
"19","DIOXYXANFL-RXN","1,4-dichlorobenzene dioxygenase","1.14.12.26",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|14DICHLORBENZDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn04646",92.2670533333333
"20","DIOXYXANFL-RXN","1,4-dichlorobenzene dioxygenase","1.14.12.26",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|14DICHLORBENZDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn04671",92.2670533333333
"21","DIOXYXANFL-RXN","1,4-dichlorobenzene dioxygenase","1.14.12.26",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|14DICHLORBENZDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn25893",92.2670533333333
"22","DIOXYXANFL-RXN","1,4-dichlorobenzene dioxygenase","1.14.12.26",NA,"UniRef90_Q01398",23.569,2.06e-11,61.6,97,"gnl_DSMZ_unitig_0_quiver_consensus",2703730,2704578,"|14DICHLORBENZDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn25906",92.2670533333333
"23","MALEYLACETATE-REDUCTASE-RXN","2-maleylacetate reductase","1.3.1.32",NA,"tr|C1I208|C1I208_PSEWB",39.431,7.03e-102,332,99,"gnl_DSMZ_unitig_0_quiver_consensus",2879845,2881311,"|14DICHLORBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn02141",0.005
"24","MALEYLACETATE-REDUCTASE-RXN","2-maleylacetate reductase","1.3.1.32",NA,"tr|C1I208|C1I208_PSEWB",39.431,7.03e-102,332,99,"gnl_DSMZ_unitig_0_quiver_consensus",2879845,2881311,"|14DICHLORBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn02142",0.005
"25","MALEYLACETATE-REDUCTASE-RXN","2-maleylacetate reductase","1.3.1.32",NA,"tr|C1I208|C1I208_PSEWB",39.431,7.03e-102,332,99,"gnl_DSMZ_unitig_0_quiver_consensus",2879845,2881311,"|14DICHLORBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn03656",0.005
"26","MALEYLACETATE-REDUCTASE-RXN","2-maleylacetate reductase","1.3.1.32",NA,"tr|C1I208|C1I208_PSEWB",39.431,7.03e-102,332,99,"gnl_DSMZ_unitig_0_quiver_consensus",2879845,2881311,"|14DICHLORBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn16086",0.005
"27","MALEYLACETATE-REDUCTASE-RXN","2-maleylacetate reductase","1.3.1.32",NA,"tr|C1I208|C1I208_PSEWB",39.431,7.03e-102,332,99,"gnl_DSMZ_unitig_0_quiver_consensus",2879845,2881311,"|14DICHLORBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn20159",0.005
"28","5-FORMYL-THF-CYCLO-LIGASE-RXN","5-formyltetrahydrofolate cyclo-ligase","6.3.3.2",NA,"sp|P0AC28|5FCL_ECOLI",29.932,4.32e-07,46.2,80,"gnl_DSMZ_unitig_0_quiver_consensus",408874,408482,"|1CMET2-PWY|","bad_blast",NA,NA,0,NA,"rxn01653",100
"29","HOMOCYSMETB12-RXN","cobalamin-dependent methionine synthase","2.1.1.13",NA,"UniRef90_Q49775",32.183,4.49e-163,536,99,"gnl_DSMZ_unitig_0_quiver_consensus",1622455,1626033,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn00693",0.005
"30","HOMOCYSMETB12-RXN","cobalamin-dependent methionine synthase","2.1.1.13",NA,"UniRef90_Q49775",32.183,4.49e-163,536,99,"gnl_DSMZ_unitig_0_quiver_consensus",1622455,1626033,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn16206",0.005
"31","HOMOCYSMETB12-RXN","cobalamin-dependent methionine synthase","2.1.1.13",NA,"UniRef90_Q49775",32.183,4.49e-163,536,99,"gnl_DSMZ_unitig_0_quiver_consensus",1622455,1626033,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn33979",0.005
"32","METHENYLTHFCYCLOHYDRO-RXN","methenyltetrahydrofolate cyclohydrolase","3.5.4.9",NA,"UniRef90_B2HDR8",66.667,2.43e-105,333,99,"gnl_DSMZ_unitig_0_quiver_consensus",2416549,2415719,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn01211",0.005
"33","METHENYLTHFCYCLOHYDRO-RXN","methenyltetrahydrofolate cyclohydrolase","3.5.4.9",NA,"UniRef90_B2HDR8",66.667,2.43e-105,333,99,"gnl_DSMZ_unitig_0_quiver_consensus",2416549,2415719,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn24147",0.005
"34","METHENYLTHFCYCLOHYDRO-RXN","methenyltetrahydrofolate cyclohydrolase","3.5.4.9",NA,"UniRef90_B2HDR8",66.667,2.43e-105,333,99,"gnl_DSMZ_unitig_0_quiver_consensus",2416549,2415719,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn34053",0.005
"35","METHYLENETHFDEHYDROG-NADP-RXN","methylenetetrahydrofolate dehydrogenase","1.5.1.5",NA,"UniRef90_A4FP42",68.929,1.31e-117,368,99,"gnl_DSMZ_unitig_0_quiver_consensus",2416555,2415722,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn00907",0.005
"36","METHYLENETHFDEHYDROG-NADP-RXN","methylenetetrahydrofolate dehydrogenase","1.5.1.5",NA,"UniRef90_A4FP42",68.929,1.31e-117,368,99,"gnl_DSMZ_unitig_0_quiver_consensus",2416555,2415722,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn32777",0.005
"37","GLYOHMETRANS-RXN","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase","2.1.2.1",NA,"UniRef90_Q8R887",54.699,2.45e-151,471,99,"gnl_DSMZ_unitig_0_quiver_consensus",829694,830938,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn00692",0.005
"38","GLYOHMETRANS-RXN","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase","2.1.2.1",NA,"UniRef90_Q8R887",54.699,2.45e-151,471,99,"gnl_DSMZ_unitig_0_quiver_consensus",829694,830938,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn15964",0.005
"39","GLYOHMETRANS-RXN","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase","2.1.2.1",NA,"UniRef90_Q8R887",54.699,2.45e-151,471,99,"gnl_DSMZ_unitig_0_quiver_consensus",829694,830938,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn19870",0.005
"40","GLYOHMETRANS-RXN","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase","2.1.2.1",NA,"UniRef90_Q8R887",54.699,2.45e-151,471,99,"gnl_DSMZ_unitig_0_quiver_consensus",829694,830938,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn33976",0.005
"41","GLYOHMETRANS-RXN","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase","2.1.2.1",NA,"UniRef90_Q8R887",54.699,2.45e-151,471,99,"gnl_DSMZ_unitig_0_quiver_consensus",829694,830938,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn33977",0.005
"42","THYMIDYLATESYN-RXN","thymidylate synthase","2.1.1.45",NA,"UniRef90_A1W5A4",68.978,1.12e-124,388,99,"gnl_DSMZ_unitig_0_quiver_consensus",2058529,2059344,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn01520",0.005
"43","THYMIDYLATESYN-RXN","thymidylate synthase","2.1.1.45",NA,"UniRef90_A1W5A4",68.978,1.12e-124,388,99,"gnl_DSMZ_unitig_0_quiver_consensus",2058529,2059344,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn11007",0.005
"44","THYMIDYLATESYN-RXN","thymidylate synthase","2.1.1.45",NA,"UniRef90_A1W5A4",68.978,1.12e-124,388,99,"gnl_DSMZ_unitig_0_quiver_consensus",2058529,2059344,"|1CMET2-PWY|","good_blast",NA,NA,0,1,"rxn34042",0.005
"45","AMINOBENZCOALIG-RXN","2-aminobenzoate-CoA ligase","6.2.1.32",NA,"tr|F3Y661|F3Y661_STIAU",30.707,5.08e-60,211,99,"gnl_DSMZ_unitig_0_quiver_consensus",905727,904288,"|2AMINOBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn00723",0.005
"46","AMINOBENZCOALIG-RXN","2-aminobenzoate-CoA ligase","6.2.1.32",NA,"tr|F3Y661|F3Y661_STIAU",30.707,5.08e-60,211,99,"gnl_DSMZ_unitig_0_quiver_consensus",905727,904288,"|2AMINOBENZDEG-PWY|","good_blast",NA,NA,0,1,"rxn05125",0.005
"47","RXN-8529","RXN-8529","5.3.2.6",NA,"UniRef90_Q93JW0",30,0.16,25.8,79,"gnl_DSMZ_unitig_0_quiver_consensus",1206598,1206744,"|2ASDEG-PWY|","bad_blast",NA,NA,0,NA,"rxn24985",100
"48","RXN-7938","acyl-CoA hydrolase (short chain)","3.1.2.18",NA,"UniRef50_Q9I0E9",36.552,3.09e-22,89.4,87,"gnl_DSMZ_unitig_0_quiver_consensus",1035381,1035815,"|2OXOBUTYRATECAT-PWY|","bad_blast",NA,NA,0,NA,"rxn05824",73.7346466666667
"49","RXN-7938","acyl-CoA hydrolase (short chain)","3.1.2.18",NA,"UniRef50_Q9I0E9",36.552,3.09e-22,89.4,87,"gnl_DSMZ_unitig_0_quiver_consensus",1035381,1035815,"|2OXOBUTYRATECAT-PWY|","bad_blast",NA,NA,0,NA,"rxn24522",73.7346466666667
"50","PHENDEHYD-RXN","phenylacetaldehyde dehydrogenase","1.2.1.39",NA,"UniRef90_P80668",36.049,7.7e-86,286,99,"gnl_DSMZ_unitig_0_quiver_consensus",1021387,1022814,"|2PHENDEG-PWY|","good_blast",NA,NA,0,1,"rxn20533",0.005
"51","CHMS-DEHYDROGENASE-RXN","2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase","1.2.1.60",NA,"UniRef90_P42269",37.687,9.75e-90,296,98,"gnl_DSMZ_unitig_0_quiver_consensus",2879842,2881230,"|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|","good_blast",NA,NA,0,1,"rxn03055",0.005
"52","SUCCSEMIALDDEHYDROG-RXN","SUCCSEMIALDDEHYDROG-RXN","1.2.1.79",NA,"UniRef90_P55653",46.091,5.09e-112,361,97,"gnl_DSMZ_unitig_0_quiver_consensus",3071938,3070481,"|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|","good_blast",NA,NA,0,1,"rxn00509",0.005
"53","4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN","p-hydroxybenzoate hydroxylase","1.14.13.2",NA,"tr|Q9R9T1|Q9R9T1_PSEPU",23.03,0.004,36.2,76,"gnl_DSMZ_unitig_0_quiver_consensus",440683,441639,"|4-HYDROXYMANDELATE-DEGRADATION-PWY|","bad_blast",NA,NA,0,NA,"rxn00962",100
"54","ACETOACETYL-COA-TRANSFER-RXN","acetoacetyl-CoA transferase","2.8.3.9",NA,"UniRef90_P21151",41.119,1.61e-80,266,100,"gnl_DSMZ_unitig_0_quiver_consensus",39862,41064,"|ACETOACETATE-DEG-PWY|","good_blast","full",NA,0,1,"rxn00994",0.005
"55","2.1.1.5-RXN","betaine-homocysteine S-methyltransferase","2.1.1.5",NA,"UniRef90_P21151",41.119,1.61e-80,266,100,"gnl_DSMZ_unitig_0_quiver_consensus",39862,41064,"|ADENOSYLHOMOCYSCAT-PWY|","good_blast",NA,NA,0,1,"rxn02028",0.005
"56","MMUM-RXN","S-methylmethionine homocysteine methyltransferase","2.1.1.10",NA,"UniRef90_O31463",26.154,2.03e-14,70.9,94,"gnl_DSMZ_unitig_0_quiver_consensus",1622482,1623411,"|ADENOSYLHOMOCYSCAT-PWY|","bad_blast",NA,NA,0,NA,"rxn00452",86.0673633333333
"57","MMUM-RXN","S-methylmethionine homocysteine methyltransferase","2.1.1.10",NA,"UniRef90_O31463",26.154,2.03e-14,70.9,94,"gnl_DSMZ_unitig_0_quiver_consensus",1622482,1623411,"|ADENOSYLHOMOCYSCAT-PWY|","bad_blast",NA,NA,0,NA,"rxn08703",86.0673633333333
"58","1.14.13.59-RXN","L-lysine 6-monooxygenase","1.14.13.59/1.13.12.10",NA,"sp|P11295|IUCD_ECOLX",29.356,2.71e-56,197,97,"gnl_DSMZ_unitig_0_quiver_consensus",114735,113494,"|AEROBACTINSYN-PWY|","bad_blast",NA,NA,0,NA,"rxn00311",2.0049
"59","ALANINE-AMINOTRANSFERASE-RXN","alanine aminotransferase","2.6.1.2",NA,"UniRef90_P0A959",59.5,1.51e-167,517,99,"gnl_DSMZ_unitig_0_quiver_consensus",2750680,2751879,"|ALACAT2-PWY|","good_blast",NA,NA,0,1,"rxn00191",0.005
"60","ALANINE-AMINOTRANSFERASE-RXN","alanine aminotransferase","2.6.1.2",NA,"UniRef90_P0A959",59.5,1.51e-167,517,99,"gnl_DSMZ_unitig_0_quiver_consensus",2750680,2751879,"|ALACAT2-PWY|","good_blast",NA,NA,0,1,"rxn33940",0.005
"61","DLACTDEHYDROGNAD-RXN","D-lactate dehydrogenase","1.1.1.28",NA,"sp|Q88VJ2|LDHD_LACPL",26.936,8.75e-23,96.7,96,"gnl_DSMZ_unitig_0_quiver_consensus",2471493,2472341,"|ALACAT2-PWY|","bad_blast",NA,NA,0,NA,"rxn00500",68.8682233333333
"62","GLUTAMATE-DEHYDROGENASE-RXN","glutamate dehydrogenase","1.4.1.2",NA,"UniRef90_P0C934",52.064,5.9e-139,437,97,"gnl_DSMZ_unitig_0_quiver_consensus",150258,151553,"|ALACAT2-PWY|","good_blast",NA,NA,0,1,"rxn19827",0.005
