locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_00002,CDS,1104,dnaN,,COG0592,Beta sliding clamp
GMHGOCAD_00003,CDS,1104,recF_1,,COG1195,DNA replication and repair protein RecF
GMHGOCAD_00004,CDS,2418,gyrB,5.6.2.2,COG0187,DNA gyrase subunit B
GMHGOCAD_00019,CDS,729,regX3,,COG0745,Sensory transduction protein regX3
GMHGOCAD_00021,CDS,690,aqpZ_1,,COG0580,Aquaporin Z
GMHGOCAD_00023,CDS,2319,sasA_1,2.7.-.-,,Adaptive-response sensory-kinase SasA
GMHGOCAD_00025,CDS,534,gmhB,3.1.3.82,COG0241,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
GMHGOCAD_00026,CDS,2055,glyS,6.1.1.14,COG0751,Glycine--tRNA ligase beta subunit
GMHGOCAD_00027,CDS,954,glyQ,6.1.1.14,COG0752,Glycine--tRNA ligase alpha subunit
GMHGOCAD_00029,CDS,888,lpxL_1,2.3.1.241,COG1560,Lipid A biosynthesis lauroyltransferase
GMHGOCAD_00032,CDS,1374,trkA,,COG0569,Trk system potassium uptake protein TrkA
GMHGOCAD_00033,CDS,1311,rsmB,2.1.1.176,COG0144,Ribosomal RNA small subunit methyltransferase B
GMHGOCAD_00034,CDS,945,fmt_1,2.1.2.9,COG0223,Methionyl-tRNA formyltransferase
GMHGOCAD_00035,CDS,507,def_1,3.5.1.88,COG0242,Peptide deformylase
GMHGOCAD_00038,CDS,978,qorA_1,1.6.5.5,COG0604,Quinone oxidoreductase 1
GMHGOCAD_00039,CDS,918,hemF,1.3.3.3,COG0408,Oxygen-dependent coproporphyrinogen-III oxidase
GMHGOCAD_00041,CDS,1569,dauA_1,,COG0659,C4-dicarboxylic acid transporter DauA
GMHGOCAD_00043,CDS,1515,betC,3.1.6.6,COG3119,Choline-sulfatase
GMHGOCAD_00044,CDS,951,perR,,,HTH-type transcriptional regulator PerR
GMHGOCAD_00046,CDS,939,ubiA_1,2.5.1.39,COG0382,4-hydroxybenzoate octaprenyltransferase
GMHGOCAD_00047,CDS,999,leuO_1,,,HTH-type transcriptional regulator LeuO
GMHGOCAD_00052,CDS,894,trpI_1,,,HTH-type transcriptional regulator TrpI
GMHGOCAD_00053,CDS,327,yqjD_1,,COG4575,putative protein YqjD
GMHGOCAD_00057,CDS,432,osmC,1.11.1.15,COG1764,Peroxiredoxin OsmC
GMHGOCAD_00063,CDS,546,yrdA,,COG0663,Protein YrdA
GMHGOCAD_00064,CDS,2052,prlC,3.4.24.70,COG0339,Oligopeptidase A
GMHGOCAD_00075,CDS,561,ctaG,,COG3175,Cytochrome c oxidase assembly protein CtaG
GMHGOCAD_00083,CDS,774,metQ_1,,COG1464,Methionine-binding lipoprotein MetQ
GMHGOCAD_00084,CDS,690,metP,,COG2011,Methionine import system permease protein MetP
GMHGOCAD_00085,CDS,1008,metN_1,3.6.3.-,COG1135,Methionine import ATP-binding protein MetN
GMHGOCAD_00086,CDS,2139,katE,1.11.1.6,COG0753,Catalase HPII
GMHGOCAD_00088,CDS,789,znuB_1,,COG1108,High-affinity zinc uptake system membrane protein ZnuB
GMHGOCAD_00089,CDS,771,znuC,7.2.2.-,COG1121,Zinc import ATP-binding protein ZnuC
GMHGOCAD_00095,CDS,642,engB,,COG0218,putative GTP-binding protein EngB
GMHGOCAD_00097,CDS,606,cc4,,COG2863,Cytochrome c4
GMHGOCAD_00098,CDS,630,dsbA,,COG0526,Thiol:disulfide interchange protein DsbA
GMHGOCAD_00101,CDS,780,amiD,3.5.1.28,COG3023,N-acetylmuramoyl-L-alanine amidase AmiD
GMHGOCAD_00102,CDS,1620,pdeB,3.1.4.52,COG4943,putative cyclic di-GMP phosphodiesterase PdeB
GMHGOCAD_00103,CDS,1788,kinB,2.7.13.3,COG5000,Alginate biosynthesis sensor protein KinB
GMHGOCAD_00104,CDS,1347,algB,,COG2204,Alginate biosynthesis transcriptional regulatory protein AlgB
GMHGOCAD_00107,CDS,465,ivy,,,Inhibitor of vertebrate lysozyme
GMHGOCAD_00108,CDS,1332,gltP,,COG1301,Proton/glutamate-aspartate symporter
GMHGOCAD_00112,CDS,804,mkl,,COG1127,putative ribonucleotide transport ATP-binding protein mkl
GMHGOCAD_00118,CDS,1308,citN_1,,COG2851,Citrate transporter
GMHGOCAD_00125,CDS,1494,cat1,2.8.3.-,COG0427,Succinyl-CoA:coenzyme A transferase
GMHGOCAD_00126,CDS,1437,pntB,7.1.1.1,COG1282,NAD(P) transhydrogenase subunit beta
GMHGOCAD_00127,CDS,321,pntA,7.1.1.1,COG3288,NAD(P) transhydrogenase subunit alpha
GMHGOCAD_00128,CDS,1122,pntAA,7.1.1.1,COG3288,NAD(P) transhydrogenase subunit alpha part 1
GMHGOCAD_00129,CDS,900,gcvA_1,,,Glycine cleavage system transcriptional activator
GMHGOCAD_00131,CDS,1221,uctC,2.8.3.19,,Acetyl-CoA:oxalate CoA-transferase
GMHGOCAD_00138,CDS,1881,mcpA,,COG0840,Methyl-accepting chemotaxis protein McpA
GMHGOCAD_00139,CDS,552,lgrE_1,1.1.-.-,,Linear gramicidin dehydrogenase LgrE
GMHGOCAD_00141,CDS,1947,csrD,,,RNase E specificity factor CsrD
GMHGOCAD_00144,CDS,1353,bepC,,,Outer membrane efflux protein BepC
GMHGOCAD_00145,CDS,2157,apxIB_1,,COG2274,Toxin RTX-I translocation ATP-binding protein
GMHGOCAD_00146,CDS,1368,prsE_1,,,Type I secretion system membrane fusion protein PrsE
GMHGOCAD_00147,CDS,924,nodD2_1,,,Nodulation protein D 2
GMHGOCAD_00148,CDS,1545,emrY,,,putative multidrug resistance protein EmrY
GMHGOCAD_00149,CDS,1071,emrA_1,,,Colistin resistance protein EmrA
GMHGOCAD_00150,CDS,1482,ttgC_1,,COG1538,putative efflux pump outer membrane protein TtgC
GMHGOCAD_00151,CDS,510,fecI_1,,COG1595,putative RNA polymerase sigma factor FecI
GMHGOCAD_00152,CDS,948,fecR_1,,COG3712,Protein FecR
GMHGOCAD_00153,CDS,2466,fhuA_1,,COG1629,Ferrichrome outer membrane transporter/phage receptor
GMHGOCAD_00159,CDS,246,yafN,,COG2161,Antitoxin YafN
GMHGOCAD_00160,CDS,282,relE,3.1.-.-,COG2026,mRNA interferase toxin RelE
GMHGOCAD_00161,CDS,429,slyA_1,,,Transcriptional regulator SlyA
GMHGOCAD_00162,CDS,2088,aaeB_1,,COG1289,p-hydroxybenzoic acid efflux pump subunit AaeB
GMHGOCAD_00164,CDS,891,aaeA_1,,COG1566,p-hydroxybenzoic acid efflux pump subunit AaeA
GMHGOCAD_00165,CDS,1446,oprM_1,,COG1538,Outer membrane protein OprM
GMHGOCAD_00167,CDS,1503,ydgA,,COG5339,Protein YdgA
GMHGOCAD_00168,CDS,2478,pgaA,,,"Poly-beta-1,6-N-acetyl-D-glucosamine export protein"
GMHGOCAD_00169,CDS,1998,pgaB,3.5.1.-,COG0726,"Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase"
GMHGOCAD_00170,CDS,1350,pgaC,2.4.1.-,COG1215,"Poly-beta-1,6-N-acetyl-D-glucosamine synthase"
GMHGOCAD_00172,CDS,1734,shlB_1,,,Hemolysin transporter protein ShlB
GMHGOCAD_00175,CDS,3696,cdiA,3.1.-.-,,Deoxyribonuclease CdiA
GMHGOCAD_00183,CDS,615,algU_1,,COG1595,RNA polymerase sigma-H factor
GMHGOCAD_00195,CDS,1443,davD,1.2.1.-,COG1012,Glutarate-semialdehyde dehydrogenase
GMHGOCAD_00197,CDS,1014,cbs,4.2.1.22,COG0031,Putative cystathionine beta-synthase
GMHGOCAD_00198,CDS,1137,hisC_1,2.6.1.9,COG0079,Histidinol-phosphate aminotransferase
GMHGOCAD_00199,CDS,1428,norM_1,,COG0534,Multidrug resistance protein NorM
GMHGOCAD_00200,CDS,999,sbnB_1,1.5.1.51,COG2423,N-((2S)-2-amino-2-carboxyethyl)-L-glutamate dehydrogenase
GMHGOCAD_00201,CDS,1377,lysA_1,4.1.1.20,COG0019,Diaminopimelate decarboxylase
GMHGOCAD_00202,CDS,2178,fatA_1,,,Ferric-anguibactin receptor FatA
GMHGOCAD_00209,CDS,1011,sbp_1,,COG1613,Sulfate-binding protein
GMHGOCAD_00210,CDS,819,cysT,,COG0555,Sulfate transport system permease protein CysT
GMHGOCAD_00211,CDS,870,cysW_1,,COG4208,Sulfate transport system permease protein CysW
GMHGOCAD_00212,CDS,990,cysA_1,7.3.2.3,COG1118,Sulfate/thiosulfate import ATP-binding protein CysA
GMHGOCAD_00214,CDS,690,crp_1,,COG0664,CRP-like cAMP-activated global transcriptional regulator
GMHGOCAD_00217,CDS,1107,virS_1,,,HTH-type transcriptional regulator VirS
GMHGOCAD_00219,CDS,1611,atsA,3.1.6.1,COG3119,Arylsulfatase
GMHGOCAD_00220,CDS,816,ssuB_1,3.6.3.-,COG1116,Aliphatic sulfonates import ATP-binding protein SsuB
GMHGOCAD_00222,CDS,1023,ssuA_1,,COG0715,Putative aliphatic sulfonates-binding protein
GMHGOCAD_00224,CDS,906,atsK,1.14.11.-,,Alpha-ketoglutarate-dependent sulfate ester dioxygenase
GMHGOCAD_00226,CDS,1044,recF_2,,,DNA replication and repair protein RecF
