Record	GBK	Record_Type	Record_Number	Class	Category	Organism	Taxonomy	Description
Mada106_gnlDSMZunitig_0quiver_consensus.region002.gbk_region_2	Mada106_gnlDSMZunitig_0quiver_consensus.region002	region	2	NRPS-like	NRPS	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region006.gbk_region_6	Mada_85_gnlDSMZunitig_0quiver_consensus.region006	region	6	terpene	terpene	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region007.gbk_region_7	Mada106_gnlDSMZunitig_0quiver_consensus.region007	region	7	redox-cofactor	RiPP	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region005.gbk_region_5	Mada106_gnlDSMZunitig_0quiver_consensus.region005	region	5	ectoine	other	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region004.gbk_region_4	Mada_85_gnlDSMZunitig_0quiver_consensus.region004	region	4	terpene-precursor	terpene	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region004.gbk_region_4	Mada106_gnlDSMZunitig_0quiver_consensus.region004	region	4	terpene-precursor	terpene	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region001.gbk_region_1	Mada106_gnlDSMZunitig_0quiver_consensus.region001	region	1	NI-siderophore	other	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region007.gbk_region_7	Mada_85_gnlDSMZunitig_0quiver_consensus.region007	region	7	redox-cofactor	RiPP	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region002.gbk_region_2	Mada_85_gnlDSMZunitig_0quiver_consensus.region002	region	2	NRPS-like	NRPS	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region005.gbk_region_5	Mada_85_gnlDSMZunitig_0quiver_consensus.region005	region	5	ectoine	other	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region003.gbk_region_3	Mada106_gnlDSMZunitig_0quiver_consensus.region003	region	3	NAPAA	NRPS	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada106_gnlDSMZunitig_0quiver_consensus.region006.gbk_region_6	Mada106_gnlDSMZunitig_0quiver_consensus.region006	region	6	terpene	terpene	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region001.gbk_region_1	Mada_85_gnlDSMZunitig_0quiver_consensus.region001	region	1	NI-siderophore	other	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
Mada_85_gnlDSMZunitig_0quiver_consensus.region003.gbk_region_3	Mada_85_gnlDSMZunitig_0quiver_consensus.region003	region	3	NAPAA	NRPS	.	Unknown	gnl|DSMZ|unitig_0|quiver_consensus
