# gapseq version: 1.4.0
# Sequence DB md5sum: 954ab58 (2024-11-06, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
5.5.1.13-RXN	ent-copalyl diphosphate synthase	5.5.1.13	NA									|PWY-2981|	no_blast	NA	rxn01490 	NA	0	NA
RXN-4882	stemar-13-ene synthase	4.2.3.33	NA									|PWY-2981|	no_seq_data	NA	rxn15980 	NA	0	NA
RXN-4883	9beta-pimara-7,15-diene synthase	4.2.3.35	NA									|PWY-2981|	no_seq_data	NA	rxn15982 	NA	0	NA
RXN-4884	ent-sandaracopimaradiene synthase	4.2.3.29	NA									|PWY-2981|	no_seq_data	NA	rxn04174 	NA	0	NA
RXN-4881	ent-cassa-12,15-diene synthase	4.2.3.28	NA									|PWY-2981|	no_seq_data	NA	rxn15984 	NA	0	NA
RXN-8528	syn-copalyl diphosphate synthase	5.5.1.14	NA									|PWY-2981|	no_seq_data	NA	rxn04185 	NA	0	NA
RXN-9291	stemod-13(17)-ene synthase	4.2.3.34	NA									|PWY-2981|	no_seq_data	NA	rxn15981 	NA	0	NA
RXN-15437	9beta-stemod-13(17)-ene monooxygenase	1.14.14.111/1.14.13.144	NA									|PWY-2981|	no_seq_data	NA	rxn16703 rxn16704 rxn16705 rxn16706 rxn16759 	NA	0	NA
RXN-15438	syn-stemod-13(17)-ene monooxygnease	1.14.14.111/1.14.13.144	NA									|PWY-2981|	no_seq_data	NA	rxn16703 rxn16704 rxn16705 rxn16706 rxn16759 	NA	0	NA
RXN-15439	syn-stemod-13(17)-19-ol monooxygenase	1.14.14.111/1.14.13.144	NA									|PWY-2981|	no_seq_data	NA	rxn16703 rxn16704 rxn16705 rxn16706 rxn16759 	NA	0	NA
RXN-15440	syn-stemod-13(17)-en-19-al monooxygenase	1.14.14.111/1.14.13.144	NA									|PWY-2981|	no_seq_data	NA	rxn16703 rxn16704 rxn16705 rxn16706 rxn16759 	NA	0	NA
RXN-7788	ent-pimara-8(14),15-diene synthase	4.2.3.30	NA									|PWY-2981|	no_seq_data	NA	rxn15985 	NA	0	NA
RXN-4861	(+)-copalyl diphosphate synthase	5.5.1.12	NA									|PWY-5411|	no_blast	NA	rxn15607 	NA	0	NA
4.2.3.18-RXN	abietadiene synthase	4.2.3.18	NA									|PWY-5411|	no_seq_data	NA	rxn04174 rxn04175 	NA	0	NA
RXN-8507	abieta-7,13-diene hydroxylase	1.14.14.144/1.14.13.108	NA									|PWY-5411|	no_seq_data	NA	rxn04224 	NA	0	NA
RXN-8508	abietadienol hydroxylase	1.14.14.145/1.14.13.109	NA									|PWY-5411|	no_seq_data	NA	rxn04227 	NA	0	NA
RXN-8509	abietadiene-diol hydrolase	1.14.14.145	NA									|PWY-5411|	spontaneous	NA	rxn04227 	NA	0	NA
RXN-8510	abietadienol hydroxylase	1.14.14.145/1.14.13.109	NA									|PWY-5411|	no_seq_data	NA	rxn04227 	NA	0	NA
RXN-10624	abieta-7,13-dien-18-al dehydrogenase	1.2.1.74	NA									|PWY-5411|	no_seq_data	NA	rxn04230 	NA	0	NA
CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN	cholesterol 7alpha-hydroxylase	1.14.14.23/1.14.13.17	NA									|PWY-6061|	no_seq_data	NA	rxn01067 rxn03499 rxn14327 	NA	0	NA
1.1.1.181-RXN	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase	1.1.1.181	NA									|PWY-6061|	no_seq_data	NA	rxn02972 rxn02973 rxn13980 rxn14049 rxn14174 rxn14319 	NA	0	NA
1.14.13.95-RXN	7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase	1.14.14.139/1.14.13.96	NA									|PWY-6061|	no_seq_data	NA	rxn04983 rxn17112 rxn35628 	NA	0	NA
RXN-9794	7alpha,12alpha-dihydroxycholest-4-en-3-one reductase	1.3.1.3/1.3.1.23	NA									|PWY-6061|	no_blast	NA	rxn01588 rxn01900 rxn02039 rxn02070 rxn02636 rxn03291 rxn03294 rxn14099 rxn14291 rxn14379 	NA	0	NA
RXN-9796	5beta-cholestane-3alpha,7alpha,12alpha-triol 3-dehydrogenase	1.1.1.213	NA	UniRef50_Q8ZH36	34.586	7.22e-44	155	98	gnl|DSMZ|unitig_0|quiver_consensus	3231200	3231988	|PWY-6061|	bad_blast	NA	rxn01793 rxn01794 rxn03292 rxn03293 rxn03295 rxn03296 rxn14124 rxn14176 rxn14375 rxn16865 rxn22725 rxn25841 rxn25879 rxn37152 rxn37153 	NA	0	NA
CHOLESTANETRIOL-26-MONOOXYGENASE-RXN	cytochrome P450 27A1	1.14.15.15/1.14.13.15		UniRef90_C4B644	36.207	4.28e-58	202	98	gnl|DSMZ|unitig_0|quiver_consensus	3328616	3327423	|PWY-6061|	good_blast	NA	rxn03283 rxn03284 rxn13953 rxn14072 rxn14149 rxn14236 rxn14371 rxn15777 rxn15778 rxn25880 	NA	0	1
