"","gene","rxn","name","ec","tc","qseqid","pident","evalue","bitscore","qcovs","stitle","sstart","send","pathway","status","pathway.status","complex","exception","complex.status","seed","rm","itmp"
"1","gnl_DSMZ_unitig_0_quiver_consensus_2647799:2648278","INORGPYROPHOSPHAT-RXN","diphosphate phosphatase","3.6.1.1",NA,"UniRef90_P9WI55",66.25,2.13e-69,224,99,"gnl_DSMZ_unitig_0_quiver_consensus",2647799,2648278,"|PWY-7805|","good_blast",NA,NA,0,1,"rxn00001",FALSE,1
"2","gnl_DSMZ_unitig_0_quiver_consensus_927825:928841","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_A0JXZ6",75.516,2.95e-166,510,99,"gnl_DSMZ_unitig_0_quiver_consensus",927825,928841,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00003",FALSE,2
"3","gnl_DSMZ_unitig_0_quiver_consensus_927822:928841","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_A6W7N6",73.021,5.1e-142,441,99,"gnl_DSMZ_unitig_0_quiver_consensus",927822,928841,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00003",TRUE,3
"4","gnl_DSMZ_unitig_0_quiver_consensus_927816:928805","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_B9KCI3",57.879,2.76e-119,375,97,"gnl_DSMZ_unitig_0_quiver_consensus",927816,928805,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00003",TRUE,4
"5","gnl_DSMZ_unitig_0_quiver_consensus_1850471:1851892","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_P29422",70.464,0,707,94,"gnl_DSMZ_unitig_0_quiver_consensus",1850471,1851892,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",FALSE,5
"6","gnl_DSMZ_unitig_0_quiver_consensus_1850462:1851889","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_P26901",52.391,5.45e-162,505,98,"gnl_DSMZ_unitig_0_quiver_consensus",1850462,1851889,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",TRUE,6
"7","gnl_DSMZ_unitig_0_quiver_consensus_1850474:1851898","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_P0A327",48.654,4.42e-146,460,95,"gnl_DSMZ_unitig_0_quiver_consensus",1850474,1851898,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",TRUE,7
"8","gnl_DSMZ_unitig_0_quiver_consensus_1850474:1851916","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_P95631",47.629,7.38e-145,456,97,"gnl_DSMZ_unitig_0_quiver_consensus",1850474,1851916,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",TRUE,8
"9","gnl_DSMZ_unitig_0_quiver_consensus_1850459:1851883","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_O68146",47.49,5.74e-140,441,98,"gnl_DSMZ_unitig_0_quiver_consensus",1850459,1851883,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",TRUE,9
"10","gnl_DSMZ_unitig_0_quiver_consensus_1850384:1851916","CATAL-RXN","catalase","1.11.1.6/1.11.1.21",NA,"UniRef90_P94377",36.641,2.02e-107,350,95,"gnl_DSMZ_unitig_0_quiver_consensus",1850384,1851916,"|DETOX1-PWY|","good_blast","full",NA,0,1,"rxn00006",TRUE,10
"11","gnl_DSMZ_unitig_0_quiver_consensus_1699528:1701270","TREHALA-RXN","trehalase","3.2.1.28",NA,"UniRef90_A0R0W9",37.152,1.28e-96,323,90,"gnl_DSMZ_unitig_0_quiver_consensus",1699528,1701270,"|PWY0-1182|","good_blast","full",NA,0,1,"rxn00007",FALSE,11
"12","gnl_DSMZ_unitig_0_quiver_consensus_925446:927029","GLYOCARBOLIG-RXN","glyoxylate carboligase","4.1.1.47",NA,"UniRef90_P0AEP7",37.828,1.01e-103,342,91,"gnl_DSMZ_unitig_0_quiver_consensus",925446,927029,"|GLYCOLATEMET-PWY|","good_blast",NA,NA,0,1,"rxn00010",FALSE,12
"13","gnl_DSMZ_unitig_0_quiver_consensus_927825:928841","ACETOOHBUTSYN-RXN","2-aceto-2-hydroxy-butyrate synthase","2.2.1.6/4.1.3.18",NA,"UniRef90_A0JXZ6",75.516,2.95e-166,510,99,"gnl_DSMZ_unitig_0_quiver_consensus",927825,928841,"|ILEUSYN-PWY|","good_blast","threshold",NA,0,1,"rxn00011",FALSE,13
